"SUPPLIER (Mandatory)

Note: If you have same product which you buy from different supplier please add in a new row . Supplier only can select from dropdown only. Do not add new supplier here","Product Name
If the same product has multiple packaging types, add a new row for each
Choose from drop down","Base UOM
(Automatic) ","Packaging UOM
Note: Should be for ordering puporse, make sure it is already in product tab","Packaging Unit
Do not modify","Packaging Conversion To Base Uom
Note : conversion must be the same as in product tab","UNIT PRICE","Branches","","","","","","","","","","","","","","","","","",""
"Sri Ternak","Fish Paste","G (Gram)","PKT (Packet)","1","1000","17.99","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Tauhu","G (Gram)","PKT (Packet)","1","250","3.99","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Tomyam Paste","G (Gram)","TIN (Tin)","1","3200","43","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Cooking Oil","ML (Milliliter)","BOTTLE (Bottle)","1","2000","28","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Olive Oil","ML (Milliliter)","BOTTLE (Bottle)","1","5000","105","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Beras","G (Gram)","BAG (Bag)","1","5000","37.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Sri Kaya","G (Gram)","TIN (Tin)","1","3230","34.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Planta","G (Gram)","TAB (Tab)","1","4800","76","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Strawberry Jem","G (Gram)","BOTTLE (Bottle)","1","284","14.05","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Thousand Island","G (Gram)","PKT (Packet)","1","1000","11.9","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Kimball mayo","G (Gram)","PKT (Packet)","1","1000","12.2","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Sos Cili","G (Gram)","PKT (Packet)","1","1000","5.8","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Sos Cili Thai","G (Gram)","BOTTLE (Bottle)","1","520","9.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
"Sri Ternak","Kicap Pekat","G (Gram)","BOTTLE (Bottle)","1","2500","21.5","","CCP,CCSA,CCTS","","","","","","","","","","","","","","","","",""
