"Product Name
If the same product has multiple packaging types, add a new row for each.
(Only for main products or raw materials purchased for use)","Category - Compulsory
Group or type of the product
","Base UOM
The smallest unit used in recipes, such as grams (g) or milliliters (ml).
For products used as whole units (e.g., bottled water), you may select “bottle.”

(Only one unit can be selected from the dropdown.)","Product Code
Must be unique
(Except for items with the same product name)","TAX RATE (Mandatory)","IS MENU","Packaging UOM
The unit of the packaging purchased from the supplier, used for stock counting or sales (for the central kitchen). 
","Packaging (Unit)
(Do not modify)","Unit Conversion
Used to specify how many units of the Base UOM equal 1 unit of the Packaging UOM.
For example, 1 bottle of oil = 750 ml.","Selling Price
(For Central Kitchen only)","Packaging Description
Additional information for orders , for Central Kitchen Only
(Provide if necessary)","Branches

Note:
Assign the product to branch inventory; can be assigned to more than one branch (if applicable) use comma to separate it","Product (Description)","Group / Tag
Used to filter products outside the main category; multiple tags can be added (separated by commas)","","","","","","","","","","","",""
"Red Cheddar","Raw Material","G (Gram)","RMC07","NT 0%","No","PKT (Packet)","1","2000","","","","","","","","","","","","","","","","",""
"Block parmesan","Raw Material","G (Gram)","RMC08","NT 0%","No","BLOCK (Block)","1","250","","","","","","","","","","","","","","","","",""
"Beras","Raw Material","G (Gram)","RMM01","NT 0%","No","BAG (Bag)","1","5000","","","","","","","","","","","","","","","","",""
"Spaghetti","Raw Material","G (Gram)","RMM02","NT 0%","No","CTN (Carton)","1","10000","","","","","","","","","","","","","","","","",""
"Spaghetti","Raw Material","G (Gram)","RMM03","NT 0%","No","PKT (Packet)","1","500","","","","","","","","","","","","","","","","",""
"Macaroni","Raw Material","G (Gram)","RMM04","NT 0%","No","CTN (Carton)","1","10000","","","","","","","","","","","","","","","","",""
"Macaroni","Raw Material","G (Gram)","RMM05","NT 0%","No","PKT (Packet)","1","500","","","","","","","","","","","","","","","","",""
"Strawberry Jem","Raw Material","G (Gram)","RMM06","NT 0%","No","CTN (Carton)","1","284","","","","","","","","","","","","","","","","",""
"Sri Kaya","Spread","G (Gram)","SP003","NT 0%","No","JAR (Jar)","1","3230","","","","","","","","","","","","","","","","",""
"Planta","Spread","G (Gram)","SP004","NT 0%","No","CTN (Carton)","1","9600","","","","","","","","","","","","","","","","",""
"Planta","Spread","G (Gram)","SP005","NT 0%","No","TAB (Tab)","1","4800","","","","","","","","","","","","","","","","",""
"Pesto","Spread","G (Gram)","SP006","NT 0%","No","CTN (Carton)","1","2280","","","","","","","","","","","","","","","","",""
"Pesto","Spread","G (Gram)","SP007","NT 0%","No","BOTTLE (Bottle)","1","190","","","","","","","","","","","","","","","","",""
"Thousand Island","Sauce","G (Gram)","SA001","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Kimball mayo","Sauce","G (Gram)","SA002","NT 0%","No","PKT (Packet)","1","1000","","","","","","","","","","","","","","","","",""
"Sos Cili","Sauce","G (Gram)","SA003","NT 0%","No","CTN (Carton)","1","1000","","","","","","","","","","","","","","","","",""
"Sos Cili Thai","Sauce","G (Gram)","SA004","NT 0%","No","BOTTLE (Bottle)","1","520","","","","","","","","","","","","","","","","",""
"Kewpie Spread","Sauce","G (Gram)","SA005","NT 0%","No","CTN (Carton)","1","3720","","","","","","","","","","","","","","","","",""
